---
Mod (Link) |Description |Downloads |Latest Supported Version
**[SkyWorld](https://www.curseforge.com/minecraft/mc-mods/skyworld)**|This mod adds new generation type - a world of floating islands|1,779|1.15.2
**[Slab Helper [Fabric]](https://www.curseforge.com/minecraft/mc-mods/slab-helper)**|Help you dealing with slab block!|31,580|1.16.2
**[Slightly Altered Terrain Generation](https://www.curseforge.com/minecraft/mc-mods/slightly-altered-terrain-generation)**|Slightly alters the terrain generation to create some variety|3,212|1.15.1
**[SlightlyVanilla](https://www.curseforge.com/minecraft/mc-mods/slightlyvanilla)**|A Collection of Tweaks for Vanilla Minecraft|942|1.16.2
**[Slime Block in the Redstone Tab](https://www.curseforge.com/minecraft/mc-mods/slime-block-in-the-redstone-tab)**|Puts the slime block into the Redstone tab, where it belongs.|81|1.16.2
**[Slip](https://www.curseforge.com/minecraft/mc-mods/slip)**|Adds a very slippery block, for Forge and Fabric.|174|1.16.2
**[slotlink](https://www.curseforge.com/minecraft/mc-mods/slotlink)**|A bad clone of Storage Network for Fabric.|50,506|1.16.2
**[SmallerFPSIncrements](https://www.curseforge.com/minecraft/mc-mods/smallerfpsincrements)**|Makes the max FPS slider go up in increments of 1 instead of 10.|1,282|1.14
**[Smart pipes](https://www.curseforge.com/minecraft/mc-mods/smart-pipes)**|Item pipes with advanced configuration|30|1.16.2
**[Smarter Mending](https://www.curseforge.com/minecraft/mc-mods/smarter-mending)**|Makes mending apply to whatever needs it the most, instead of something random|4,148|1.14.4
**[Smith And Fletch](https://www.curseforge.com/minecraft/mc-mods/smith-and-fletch)**|Adds some functionality to Smithing and Fletching Table.|5,380|1.15.2
**[Smoke Extender](https://www.curseforge.com/minecraft/mc-mods/smoke-extender)**|Changes campfire smoke particles so they go higher!|5,907|1.16.1
**[Smooth Bedrock (Fabric)](https://www.curseforge.com/minecraft/mc-mods/blayykes-smooth-bedrock)**|Fabric mod that makes bedrock generation completely flat|6,917|1.16.1
**[Smooth Scrolling Everywhere (Fabric)](https://www.curseforge.com/minecraft/mc-mods/smooth-scrolling-everywhere-fabric)**|Adds smooth scrolling to every list.|18,820|1.16.2
**[SmoothCoasters](https://www.curseforge.com/minecraft/mc-mods/smoothcoasters)**|Significantly enhances roller coasters|278|1.16.2
**[Smoother Bedrock](https://www.curseforge.com/minecraft/mc-mods/smoother-bedrock)**|Makes all bedrock layers flat.|1|1.16.2
**[Snapshot Ideas](https://www.curseforge.com/minecraft/mc-mods/snapshot-ideas)**|This mod adds ideas for the new snapshot versions!|838|1.16-Snapshot
**[Sneak Through Berries (Forge & Fabric)](https://www.curseforge.com/minecraft/mc-mods/sneakthroughberries)**|Lets you sneak through Sweet Berry Bushes without taking damage|17,767|1.16.1
**[Sneaky Screens](https://www.curseforge.com/minecraft/mc-mods/sneaky-screens)**|Persists the sneak state in menus.|6,961|1.16.2
**[Sneed's Piss & Hiss](https://www.curseforge.com/minecraft/mc-mods/pisshiss)**|Formerly Chuck's|2|1.16.2
**[Snowdrift](https://www.curseforge.com/minecraft/mc-mods/snowdrift)**|Piles of snow build up during snowstorms and then slowly melt afterwards.|2,150|1.16.1
**[Snowy Leaves](https://www.curseforge.com/minecraft/mc-mods/snowy-leaves)**|Leaves turn white during snow storms like they do in Minecraft Bedrock|1,282|1.16.1
**[So It Burns](https://www.curseforge.com/minecraft/mc-mods/so-it-burns)**|A fabric mod focusing on lighting things up and fire in general|0|1.16.1
**[Soaring Clouds](https://www.curseforge.com/minecraft/mc-mods/soaring-clouds)**|Allows you to configure cloud heights in Minecraft.|1,671|1.16.1
**[Sodden](https://www.curseforge.com/minecraft/mc-mods/sodden)**|Adds configurable, tiered watering cans to accelerate plant growth.|1,615|1.14-Snapshot
**[Sodium](https://www.curseforge.com/minecraft/mc-mods/sodium)**| A Minecraft mod designed to improve frame rates and reduce micro-stutter|242,044|1.16.1
**[Soil Stairs](https://www.curseforge.com/minecraft/mc-mods/soil-stairs)**|Adds stairs and slabs based on the Minecraft soil blocks|514|1.15.2
**[Solid Worlds](https://www.curseforge.com/minecraft/mc-mods/solid-worlds)**|Generate solid worlds, without caves, ravines, lakes and/or mineshaft.|382|1.16.2
**[Some Cool Extra Items](https://www.curseforge.com/minecraft/mc-mods/some-cool-extra-items)**|New foods, mobs, items.. Why not?|429|1.15.2
**[Song Sounds](https://www.curseforge.com/minecraft/mc-mods/song-sounds)**|Turns note blocks in to full-on song makers!|42|1.16.2
**[Sonic Devices](https://www.curseforge.com/minecraft/mc-mods/sonic-devices)**|Sonic Screwdrivers of all types and styles|1,912|1.16.1
**[SorceryCraft](https://www.curseforge.com/minecraft/mc-mods/sorcerycraft)**|Cast Spells in Minecraft!|10,316|1.16.1
**[Soul Sandstone](https://www.curseforge.com/minecraft/mc-mods/soul-sandstone)**|Adds a soul sand variant of sandstone!|367|1.16.2
**[Soul Shards Respawn](https://www.curseforge.com/minecraft/mc-mods/soul-shards-respawn)**|Powerful spawners for any mob!|2,671,108|1.15.2
**[Soul Soil Farmland](https://www.curseforge.com/minecraft/mc-mods/soul-soil-farmland)**|Allows you to grow crops in the Nether by tilling soul soil!|1,792|1.16.2
**[Soulbound (Fabric)](https://www.curseforge.com/minecraft/mc-mods/soulbound-fabric)**|An enchantment that retains items upon death|35,639|1.16.1
**[Souls Egg](https://www.curseforge.com/minecraft/mc-mods/souls-egg)**|A mod that add an item usable for spawn eggs crafting|1,408|1.14.3
**[spark](https://www.curseforge.com/minecraft/mc-mods/spark)**|spark is a performance profiling plugin based on sk89q's WarmRoast profiler.|59,509|1.15.2
**[Spatial Crafting ](https://www.curseforge.com/minecraft/mc-mods/spatial-crafting)**|A mod that adds 3 dimensional crafting tables at varying sizes|3,589|1.16-Snapshot
**[Spectator Survival Fabric](https://www.curseforge.com/minecraft/mc-mods/spectator-survival)**|SS|20|1.16.1
**[Speechcraft (Fabric)](https://www.curseforge.com/minecraft/mc-mods/speechcraft-fabric)**|Speechcraft forces you to control Minecraft with your voice|637|1.14.4
**[Speed Trading](https://www.curseforge.com/minecraft/mc-mods/speed-trading)**|Adds a button to the villager trading GUI to repeat the current trade until it's no longer available.|749|1.16.2
**[Spelunker's Treasures](https://www.curseforge.com/minecraft/mc-mods/spelunkers-treasures)**|Spice up the underground with treasures and traps!|3,946|1.15.2
**[Spice of Fabric (Fabric)](https://www.curseforge.com/minecraft/mc-mods/spice-of-fabric)**|An iteration of Spice of Life built for Fabric|3,776|1.16.1
**[Spike Traps Fabric](https://www.curseforge.com/minecraft/mc-mods/spike-traps-fabric)**|spike traps for stationary death|317|1.15.2
**[Spinnery: Fabric](https://www.curseforge.com/minecraft/mc-mods/spinnery-fabric)**|Spinnery is a modern, feature-complete GUI library for Minecraft 1.15 and 1.16.|17,348|1.16.1
**[Splash Concrete](https://www.curseforge.com/minecraft/mc-mods/splash-concrete)**|Allows hardening concrete powder using splash water bottles.|44|1.15.2
**[Sponges Plus](https://www.curseforge.com/minecraft/mc-mods/sponges-plus)**|Adds Sponges|22|1.16.2
**[Spyglass](https://www.curseforge.com/minecraft/mc-mods/spyglass)**|A Fabric mod for getting and dumping all sorts of useful information |271|1.15-Snapshot
**[SquidCraft](https://www.curseforge.com/minecraft/mc-mods/squidcraft)**|This mod adds more food.|244|1.16.2
**[Squids Drop Calamari And Other Minor Additions](https://www.curseforge.com/minecraft/mc-mods/squids-drop-calamari-and-other-minor-additions)**|Adds squid food, glow glass and diamonds from coal.|439|1.14.4
**[Stacc](https://www.curseforge.com/minecraft/mc-mods/stacc)**|infinite:tm: stack limit for fabric|1,553|1.16.1
**[Stackable Damage Enchants](https://www.curseforge.com/minecraft/mc-mods/stackable-damage-enchants)**|Does what the name says.|1,884|1.14.3
**[StackablePotions](https://www.curseforge.com/minecraft/mc-mods/stackablepotions)**|Allows vanilla potions to stack.|1,795|1.16.2
**[StackDisenchantedBooks (Fabric)](https://www.curseforge.com/minecraft/mc-mods/stackdisenchantedbooks)**|fix grindstone book stacking|220|1.14
**[Staff of Building](https://www.curseforge.com/minecraft/mc-mods/staff-of-building)**|Staff of Building adds in new staffs which can be used to speed up building|32,132|1.16.2
**[StaffDerpsMod](https://www.curseforge.com/minecraft/mc-mods/staffderpsmod)**|Staff Utility Mod|129|1.16.2
**[StairDoors](https://www.curseforge.com/minecraft/mc-mods/stairdoors)**|A coremod that allows doors to be placed on stairs.|5,343|1.16.2
**[Start the Music!](https://www.curseforge.com/minecraft/mc-mods/start-the-music)**|A Fabric mod that sets the cooldown until the next music track to 0|1,280|1.16.2
**[Starting Notes](https://www.curseforge.com/minecraft/mc-mods/starting-notes)**|add written book(s) to the players inventory on spawn|51|1.16.1
**[Statement Library](https://www.curseforge.com/minecraft/mc-mods/statement)**|Fabric library mod for blockstate property manipulation|3,082|1.16.2
**[Static FOV](https://www.curseforge.com/minecraft/mc-mods/static-fov)**|Disables dynamic FOV|40|1.16.1
**[Stats Keeper (Fabric)](https://www.curseforge.com/minecraft/mc-mods/stats-keeper-fabric)**|Saves stats on death & modifies default health|3,176|1.16.2
**[StatusHud](https://www.curseforge.com/minecraft/mc-mods/statushud)**|Hud Utilities and Configuration|146|1.16.2
**[Steed Stopper](https://www.curseforge.com/minecraft/mc-mods/steed-stopper)**|No more horses spawning|18|1.16.2
**[Steelseries Gamesense [Fabric]](https://www.curseforge.com/minecraft/mc-mods/steelseries-gamesense-fabric)**|Light up all ur Steelseries gear.|118|1.16.1
**[StepUpNext](https://www.curseforge.com/minecraft/mc-mods/stepupnext)**|Take higher steps so you can climb full blocks without jumping|3,866|1.16.2
**[Sticky Weeds](https://www.curseforge.com/minecraft/mc-mods/sticky-weeds)**|walking through tall grass is hard|442|1.14.2
**[Stockpile](https://www.curseforge.com/minecraft/mc-mods/stockpile)**|(Fabric) A storage mod for modern Minecraft versions|52,272|1.16.1
**[Stone Chests](https://www.curseforge.com/minecraft/mc-mods/stone-chests)**|Adding a chest for each stone variant to Minecraft.|3,454|1.14-Snapshot
**[Stonecutter Tweaks](https://www.curseforge.com/minecraft/mc-mods/stonecutter-tweaks)**|Fixes a stonecutter bug.|38,765|1.16
**[Stop Hiding](https://www.curseforge.com/minecraft/mc-mods/stop-hiding)**|A Fabric version of FindMe.|0|1.16
**[Storage Cabinet](https://www.curseforge.com/minecraft/mc-mods/storage-cabinet)**|A simple storage cabinet|857,768|1.16.1
**[Straighten Up](https://www.curseforge.com/minecraft/mc-mods/straighten-up)**|Removes the italics from renamed items|3,644|1.16.1
**[Straw Dummy](https://www.curseforge.com/minecraft/mc-mods/straw-dummy)**|A mod that adds a single thing: a dummy player made out of straw with infinite health for you to test your weapons!|3,937|1.16.2
**[Strong and Fair Anvils](https://www.curseforge.com/minecraft/mc-mods/strong-and-fair-anvils)**|More convenient anvils. [FABRIC]|9,121|1.16.1
**[StructureZ](https://www.curseforge.com/minecraft/mc-mods/structurez)**|More to explore!|1,089|1.15.2
**[StuffZ](https://www.curseforge.com/minecraft/mc-mods/stuffz)**|Uncraft armor + other stuff|13,884|1.16.1
**[Subnautic Redstone (Fabric)](https://www.curseforge.com/minecraft/mc-mods/subnautic-redstone)**|Subnautic Redstone allows the player to build with Redstone underwater!|3,047|1.14-Snapshot
**[Suck Eggs](https://www.curseforge.com/minecraft/mc-mods/suck-eggs)**|Adds the ability to suck eggs|1,225|1.16.2
**[Suitably Stackable Stew](https://www.curseforge.com/minecraft/mc-mods/suitably-stackable-stew)**|Makes all stews stack up to 16|409|1.16.2
**[Super Cobblestone Funnels](https://www.curseforge.com/minecraft/mc-mods/super-cobblestone-funnels)**|For a less grindy skyblock early game|148|1.16.1
**[Super Ores](https://www.curseforge.com/minecraft/mc-mods/super-ores)**|More Ores!|330,889|1.14.1
**[SuperAxes](https://www.curseforge.com/minecraft/mc-mods/superaxes)**|Adds super axes that help chopping down trees|36,808|1.16.2
**[supercharge (fabric)](https://www.curseforge.com/minecraft/mc-mods/supercharge-fabric)**|remove cooldown bar from any minecraft tool|897|1.14.1
**[Suppress Unknown Item (Fabric)](https://www.curseforge.com/minecraft/mc-mods/suppress-unknown-item)**|Suppress that log-spammy "Unknown item" error when loading recipes for items that don't exist.|1,611|1.15.2
**[Surreal Biomes](https://www.curseforge.com/minecraft/mc-mods/surreal-biomes)**|A worldgen mod adding unique and rare biomes.|484|1.16-Snapshot
**[Survival Debug Stick](https://www.curseforge.com/minecraft/mc-mods/survival-debug-stick)**|Lets Survival Players Use The Debug Stick|1,600|1.16.1
**[Sweed](https://www.curseforge.com/minecraft/mc-mods/sweed)**|rapidly growing sugar plant|1,775|1.15-Snapshot
**[Sweet Tooth](https://www.curseforge.com/minecraft/mc-mods/sweet-tooth)**|Adds lots more uses for Sugar!|7,749|1.15-Snapshot
**[Swim Air](https://www.curseforge.com/minecraft/mc-mods/swim-air)**|Let you swim in air|57|1.16.2
**[Switcheroo](https://www.curseforge.com/minecraft/mc-mods/autoswap-updated)**|Automatically replace your hotbar items when they run out|693|1.16.2
**[Sword Effects](https://www.curseforge.com/minecraft/mc-mods/sword-effects)**|Allows the player to apply a potion to any vanilla swords|7,574|1.15.2
**[SwordEnlarger](https://www.curseforge.com/minecraft/mc-mods/swordenlarger)**|Makes swords a bit bigger|42|1.16.2
**[Syrup](https://www.curseforge.com/minecraft/mc-mods/syrup)**|Sickly sweet additions|1,703|1.14.1
**[Tab Inventory - Fabric](https://www.curseforge.com/minecraft/mc-mods/tab-inventory-fabric)**|Fabric mod that allows the inventory key to be Tab just like in 1.13|571|1.16.1
**[TacoCraft](https://www.curseforge.com/minecraft/mc-mods/tacocraft-fabric)**|Adds Tacos to Minecraft Fabric 1.15.2+! |39,100|1.16.2
**[Tall Worlds](https://www.curseforge.com/minecraft/mc-mods/tall-worlds)**|Makes worlds taller!|1,024|1.15.2
**[TallTallCane](https://www.curseforge.com/minecraft/mc-mods/talltallcane)**|Makes  sugar cane, cactus, and bamboo grow to build limit|371|1.16.2
**[Target Dummy](https://www.curseforge.com/minecraft/mc-mods/target-dummy)**|Adds in a Target Dummy which shows how much damage you do on hit.|4,629|1.14.4
**[Tater Networking](https://www.curseforge.com/minecraft/mc-mods/taternetworking)**|Optimizes Minecraft's networking code|180|1.16.2
**[TBO Classic](https://www.curseforge.com/minecraft/mc-mods/tbo-classic)**|Biomes from TheBiomeOverhaul (1.x) in the vanilla world generator|836|1.14.4
**[TCrafting](https://www.curseforge.com/minecraft/mc-mods/tcrafting)**|Adds Terraria-style crafting to Minecraft.|125|1.16.2
**[Teal Bricks](https://www.curseforge.com/minecraft/mc-mods/teal-bricks)**|Adds Teal Nether Bricks and Lantern Blocks. That's it, that's the mod.|81|1.16-Snapshot
**[TeamPerms](https://www.curseforge.com/minecraft/mc-mods/teamperms)**| A simple permissions mod using scoreboard teams as groups.|14|1.16.1
**[Tech Reborn](https://www.curseforge.com/minecraft/mc-mods/techreborn)**|Tech Reborn is a completely standalone tech mod including tools and machines to gather resources, process materials, and progress through the mod.|13,334,302|1.16.2
**[Telekinesis Enchantment](https://www.curseforge.com/minecraft/mc-mods/telekinesis-enchantment)**|A Fabric mod that adds an enchantment to automatically put any dropped items into your inventory.|243|1.16.2
**[TelePistons](https://www.curseforge.com/minecraft/mc-mods/telepistons)**|Telescopic Piston Animations|29|1.16.2
**[Templates](https://www.curseforge.com/minecraft/mc-mods/templates)**|Template blocks for Fabric and Minecraft 1.14|1,411|1.14.3
**[Tenor: Fabric](https://www.curseforge.com/minecraft/mc-mods/tenor)**|Immersive solutions for modern problems.|2,434|1.15.2
**[Terrestria](https://www.curseforge.com/minecraft/mc-mods/terrestria)**|A mod for Fabric enhancing the detail of Minecraft with unique and vibrant biomes. Inspired by ExtrabiomesXL. |117,547|1.16.1
**[Text Coloriser Plugin](https://www.curseforge.com/minecraft/mc-mods/text-coloriser-plugin)**|Allows you to customise your server with text formatting codes and more|383|1.16.1
**[Textile Backup](https://www.curseforge.com/minecraft/mc-mods/textile-backup)**|Small backup mod for fabric|8,746|1.16.2
**[ThaiFixes](https://www.curseforge.com/minecraft/mc-mods/thaifixes)**|Makes Thai language vowels rendering in Minecraft readable.|168,685|1.14.1
**[Thallium - Fps Boost](https://www.curseforge.com/minecraft/mc-mods/thallium)**|Thallium Optimization Mod - Boost your FPS! Replace Optifine!|6,830|1.16.2
**[The Backrooms](https://www.curseforge.com/minecraft/mc-mods/the-backrooms)**|The backrooms, endless mono yellow rooms to traverse.|2,028|1.16.2
**[The Biome Overhaul](https://www.curseforge.com/minecraft/mc-mods/the-biome-overhaul)**|A 1.14 fabric biomes mod|25,422|1.15-Snapshot
**[The Bumblezone (Fabric)](https://www.curseforge.com/minecraft/mc-mods/the-bumblezone-fabric)**|An unBEElievable dimension full of bees that becomes REALLY angry if you take their honey!|5,007|1.16.2
**[the gamemode before](https://www.curseforge.com/minecraft/mc-mods/the-gamemode-before)**|this mod adds the old version of the /gamemode|0|1.15.2
**[The Hallow](https://www.curseforge.com/minecraft/mc-mods/the-hallow)**|A collaborative mod with a new dimension...|16,640|1.15.2
**[The Loved Ones](https://www.curseforge.com/minecraft/mc-mods/the-loved-ones)**|Freidly Fire for Fabirc|6,837|1.16.1
**[The Parakeet Mod](https://www.curseforge.com/minecraft/mc-mods/the-parakeet-mod)**|The Parakeet Mod brings your favorite little buddies to Minecraft! [Forge/Fabric] [1.16.x] [1.15.2]|1,160|1.16.2
**[The Silk Road](https://www.curseforge.com/minecraft/mc-mods/the-silk-road)**|A Trading mod for fabric, allowing for safe player trades and some other features|104|1.16.1
**[The Veggie Way [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/veggieway-fabric)**|Vanilla friendly high nutrition foods without killing|5,855|1.16.2
**[Thermal Conversion](https://www.curseforge.com/minecraft/mc-mods/thermal-conversion)**|Universal Energy Translation between any furnace supporting mods.|38,285|1.16.2
**[This & That](https://www.curseforge.com/minecraft/mc-mods/this-that)**|Random additions, mostly building blocks.|1,620|1.14
**[This Is Fine](https://www.curseforge.com/minecraft/mc-mods/thisisfine)**|This Is Fine|310|1.14
**[Thresher](https://www.curseforge.com/minecraft/mc-mods/thresher)**|Saving modpack authors from those who don't know what a RAM is|212|1.16.1
**[Through The Looking Glass](https://www.curseforge.com/minecraft/mc-mods/through-the-looking-glass)**|Ever wanted to peer into other worlds?|451|1.16.2
**[Ticking Storage](https://www.curseforge.com/minecraft/mc-mods/ticking-storage)**|adds barrels that tick your items for you|20|1.15.2
**[Tiered](https://www.curseforge.com/minecraft/mc-mods/tiered)**|Adds tiers/modifiers to tools.|700|1.15.2
**[Tiger Kus'](https://www.curseforge.com/minecraft/mc-mods/tiger-kus)**|Very simple mod which doesn't allow to hurt Tigers|4,419|1.14.4
**[Till it Breaks](https://www.curseforge.com/minecraft/mc-mods/till-it-breaks)**|Displays the durability of items on the item itself|74|1.16.2
**[Time To Live](https://www.curseforge.com/minecraft/mc-mods/time-to-live)**|Displays a TNT countdown.|3,202|1.16.2
**[Tiny Fuel](https://www.curseforge.com/minecraft/mc-mods/tiny-fuel)**|Adds smaller variants of coal and charcoal|12,748|1.16.2
**[TinyCoals](https://www.curseforge.com/minecraft/mc-mods/tinycoals)**|A small mod which adds 1/8ths of coal and charcoal items.|55|1.15
**[TinyConfig](https://www.curseforge.com/minecraft/mc-mods/tinyconfig)**|Easy configuration for the modder an end user.|17|1.15-Snapshot
**[TinyTweaks](https://www.curseforge.com/minecraft/mc-mods/tinytweaks)**|A small collection of configurable tweaks for Minecraft|1,937|1.16.2
**[TIS-3D](https://www.curseforge.com/minecraft/mc-mods/tis-3d)**|Low-tech computing for Minecraft|212,677|1.16.2
**[Title Scrolls](https://www.curseforge.com/minecraft/mc-mods/title-scrolls)**|Customizable title scrolls for fabric|130|1.16.1
**[TitleScreenNotice](https://www.curseforge.com/minecraft/mc-mods/titlescreennotice)**|A mod to add one-notices to the main menu|1|1.15.2
**[Toggle Entity Render](https://www.curseforge.com/minecraft/mc-mods/toggle-entity-render)**|Allows toggling the rendering of specific entities.|129|1.16.2
**[Toggle Toggle](https://www.curseforge.com/minecraft/mc-mods/toggle-toggle)**|Keybinds that switch sneak and sprint between hold and toggle.|489|1.16.1
**[ToggleBlockUpdates](https://www.curseforge.com/minecraft/mc-mods/toggleblockupdates)**|Adds a command that disables block updates|51|1.16-Snapshot
**[ToggleWalk](https://www.curseforge.com/minecraft/mc-mods/togglewalk)**|Makes it so that pressing the walk and sneak buttons toggles them instead!|1,983|1.14.4
**[ToggleWalk Mk. II](https://www.curseforge.com/minecraft/mc-mods/togglewalk-mk-ii)**|Makes it so that various keybinds can be toggled instead of being held! (With some changes from the original mod)|311|1.16.2
**[Tom's Fabric Lib](https://www.curseforge.com/minecraft/mc-mods/toms-fabric-lib)**|Library mod for my fabric mods|112|1.16.1
**[Tom's Simple Storage Mod (Fabric)](https://www.curseforge.com/minecraft/mc-mods/toms-storage-fabric)**|Simple vanilla style storage mod for Fabric|1,156|1.16.1
**[Tool Builder](https://www.curseforge.com/minecraft/mc-mods/tool-builder)**|Like Tinkers Construct, but through normal crafting|19,274|1.15.2
**[ToolTip AutoWrap](https://www.curseforge.com/minecraft/mc-mods/tooltip-autowrap)**|Don't you hate it when ToolTips fly off the screen!|11,782|1.15
**[Tooltip Tool Tips](https://www.curseforge.com/minecraft/mc-mods/tooltip-tool-tips)**|Provides more information about tools (and armor) in their tooltips|29|1.16.2
**[TooManyCrashes](https://www.curseforge.com/minecraft/mc-mods/toomanycrashes)**|Crash catching (keep playing after a crash), uploading, involved mod identification, and stack trace deobfuscation for Fabric 1.14|1,604|1.14-Snapshot
**[TooMuchOcean](https://www.curseforge.com/minecraft/mc-mods/toomuchocean)**|Fabric mod that allows the chance of ocean conversion to land to be controlled via a config|429|1.14.4
**[Torchkey](https://www.curseforge.com/minecraft/mc-mods/torchkey)**|Adds a hotkey to place a torch from your hotbar.|668|1.16.1
**[ToroHealth Damage Indicators](https://www.curseforge.com/minecraft/mc-mods/torohealth-damage-indicators)**|Shows health and damage received for mobs, NPCs, and players|3,699,012|1.16.2
**[Torrid Vision](https://www.curseforge.com/minecraft/mc-mods/torrid-vision)**|Adds a potion that allows you to see better when submerged in lava!|4,710|1.16.2
**[Totally Balanced Creative Flying](https://www.curseforge.com/minecraft/mc-mods/totallybalancedcreativeflying)**|Because Creative Flying is not fair.|16|1.16.2
**[Totally Balanced Fall Flying](https://www.curseforge.com/minecraft/mc-mods/totallybalancedfallflying)**|Because Elytras are not fair.|13|1.16.2
**[Totem Plus](https://www.curseforge.com/minecraft/mc-mods/totem-plus)**|Revive you from the death of Void|21|1.16.2
**[Totem Skin](https://www.curseforge.com/minecraft/mc-mods/totem-skin)**|Generates Totem icon textures on the fly!|245|1.14.4
**[Tough Glass](https://www.curseforge.com/minecraft/mc-mods/tough-glass)**|Adds Glass so Tough, it can't be moved by Pistons|329|1.16-Snapshot
**[Towelette](https://www.curseforge.com/minecraft/mc-mods/towelette)**|Fabric mod that allows waterlogging with any fluid|17,753|1.16.2
**[Trade (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trade)**|Allows trading between players on server|202,106|1.16.2
**[TrajectoryFabric](https://www.curseforge.com/minecraft/mc-mods/trajectoryfabric)**|Renders an estimated Trajectory of projectiles|613|1.16.2
**[Trample Stopper (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trample-stopper-fabric)**|Trample Stopper for Fabric|2,439|1.16.2
**[Trampoline](https://www.curseforge.com/minecraft/mc-mods/trampoline)**|Fabric Mod to enable Bungeecord's IP Forwarding.|82|1.16-Snapshot
**[Translater](https://www.curseforge.com/minecraft/mc-mods/translater)**|Corrupt minecraft text by translating it|109|1.16.1
**[Transparency](https://www.curseforge.com/minecraft/mc-mods/transparency)**|Make everything transparent!|137|1.14.4
**[Transparent](https://www.curseforge.com/minecraft/mc-mods/transparent)**|Allows resource packs to make paintings and item frames support transparency!|592|1.16.2
**[Trap Expansion  (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trap-expansion-fabric)**|Trap Expansion adds some polished, vanilla style utilities for trapping and killing!|56,823|1.16.2
**[Trapped Shulker Boxes](https://www.curseforge.com/minecraft/mc-mods/tsb)**|A mod adding shulker boxes that are trapped|623|1.14.4
**[Trash It](https://www.curseforge.com/minecraft/mc-mods/trash-it)**|Simple Trash Can mod for Fabric.|845|1.16.1
**[Traverse](https://www.curseforge.com/minecraft/mc-mods/traverse)**|A biome expansion mod that embraces the simplistic nature of Minecraft biomes|103,119|1.16.1
**[Tree Bark](https://www.curseforge.com/minecraft/mc-mods/tree-bark)**|Adds bark, obtained by stripping logs|1,575|1.14.4
**[Trees Do Not Float](https://www.curseforge.com/minecraft/mc-mods/trees-do-not-float)**|Trees and leaves break down when last supporting log is broken.|79,278|1.16.2
**[TreeZ](https://www.curseforge.com/minecraft/mc-mods/treez)**|fruit trees |273|1.15.2
**[TriangleCore](https://www.curseforge.com/minecraft/mc-mods/trianglecore)**|A mod library required for some of Sid's mods.|108|1.16.2
**[Trident Fixer](https://www.curseforge.com/minecraft/mc-mods/trident-fixer)**|Tridents can be repaired with prismarine shards|1,938|1.14-Snapshot
**[Trident Tweaks](https://www.curseforge.com/minecraft/mc-mods/trident-tweaks)**|Tweaks Tridents to be more useful as a weapon.|34|1.16.2
**[Trigger Message](https://www.curseforge.com/minecraft/mc-mods/trigger-message)**|Program in your automatic response to trigger words!|4|1.15.1
**[Trinket Heart Canisters](https://www.curseforge.com/minecraft/mc-mods/trinket-heart-canisters)**|Adds heart canisters as trinkets|178|1.16.1
**[Trinkets (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trinkets-fabric)**|A modular accessory mod and API|63,823|1.16.2
**[Trophy Slots](https://www.curseforge.com/minecraft/mc-mods/trophy-slots)**|Earn your inventory slots!|217,708|1.16.1
**[trpg1's Recipe Mod (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trpg1s-recipe-mod)**|Adds useful recipes like logs in a circle shape into 4 chests|368|1.14.4
**[True Darkness](https://www.curseforge.com/minecraft/mc-mods/true-darkness)**|Moonless nights and enclosed spaces are truly dark|18,446|1.16.2
**[Trumpet Skeleton (Fabric)](https://www.curseforge.com/minecraft/mc-mods/trumpet-skeleton-fabric)**|The sound of trumpets echoes through the night...|12,940|1.16.2
**[TTKB](https://www.curseforge.com/minecraft/mc-mods/ttkb)**|A bunch of miscellaneous addtions to the game.|2,094|1.16.1
**[Tumble Dryer](https://www.curseforge.com/minecraft/mc-mods/tumble-dryer)**|When a clothes line is too slow|2,270|1.16.1
**[Tweakeroo](https://www.curseforge.com/minecraft/mc-mods/tweakeroo)**|Various client-side tweaks, such as hand restock, hotbar swap/cycle, flexible/fast block placement etc.|67,483|1.16.2
**[Tweed (Fabric)](https://www.curseforge.com/minecraft/mc-mods/tweed-api)**|Yet another fabric config attempt.|2,042|1.15-Snapshot
**[Twine](https://www.curseforge.com/minecraft/mc-mods/twine)**|A simple survival mod for Minecraft encouraging a nomadic lifestyle.|335|1.16.1
**[Twitch Chat Bridge (Fabric)](https://www.curseforge.com/minecraft/mc-mods/twitch-chat)**|Connect Minecraft chat and Twitch chat!|1,988|1.16.2
**[Two Zero Bee](https://www.curseforge.com/minecraft/mc-mods/two-zero-bee)**|Fixes the server startup crash bug on 20w20a.|0|1.16-Snapshot
**[Ugly Scoreboard Fix](https://www.curseforge.com/minecraft/mc-mods/ugly-scoreboard-fix)**|Hides the ugly scoreboard scores only used for sorting the lines|69|1.16.2
**[Unbad Redstone](https://www.curseforge.com/minecraft/mc-mods/unbad-redstone)**|Makes redstone hitboxes a big square instead of the tiny hitboxes they have now|94|1.16-Snapshot
**[Uncraft Me](https://www.curseforge.com/minecraft/mc-mods/uncraft-me)**|Break down Quartz Blocks and Netherwart Blocks|1,965|1.14.4
